offer_id,stock_nowy
18748619896,921
18764915835,51
18764916049,15
18764916273,3
18734683435,679
18764916501,37
18764916694,11
18764916807,2
18732815640,1592
18764916885,88
18764916988,26
18764917142,5
18734683525,709
18764917346,39
18764917554,11
18764917706,2
18732829075,1056
18764917822,58
18764917913,17
18764918000,3
18735303719,747
18764918219,41
18764918408,12
18764918578,2
18734683580,552
18764918667,30
18764918758,9
18764918811,2
18732829273,930
18764918922,51
18764919018,15
18764919172,3
18729289736,2295
18733056059,127
18764910333,38
18764919375,8
18734683657,732
18764919557,40
18764919730,12
18764919861,2
18732829345,907
18764920021,50
18764920172,15
18764920374,3
18734683710,944
18764920565,52
18764920810,15
18764921031,3
18732816516,1172
18764921302,65
18764921543,19
18764921685,4
18764921802,8
18764921916,2
18764921991,1
18735303831,912
18764922070,50
18764922170,15
18764922276,3
18735303892,697
18764922433,48
18764922844,4
18735303947,856
18764922974,47
18764923093,14
18764923231,3
18734683779,1917
18764923403,106
18764923583,31
18764923706,7
18732829425,573
18764923871,31
18764923986,9
18764924139,2
18735304061,448
18764924289,24
18764924490,7
18764924703,1
18411208540,666
18416992049,27
18629589737,268
18411233614,268
18417059700,22
18629697663,146
18533534285,146
18629678243,7
18629660214,2
18629703214,2998
18545432735,2998
18629670216,154
18629622617,51
18629717170,1132
18545436967,1132
18629609853,58
18629628094,19
18629721113,1705
18545916432,1705
18629619151,85
18629729500,1919
18551038768,1919
18629665974,47
18629732397,1405
18555816333,1405
18629683231,35
18629734619,1530
18555826127,1530
18629771473,399
18555850020,399
18433909577,7467
18449375090,186
18509766006,1359
18433934368,1359
18509774697,33
18449334657,33
